timestamp,bandpass EMG envelope 0,bandpass EMG envelope 1,elapsed Time (ms),button 0,button 1,raw EMG 0,raw EMG 1,bandpass EMG 0,bandpass EMG 1
1722036527,0.05,0.13,3495935,0,0,1.55,-1.27,0.47,-0.19
1722036527,0.05,0.13,3495952,0,0,1.55,-0.27,0.3,0.18
1722036527,0.05,0.13,3495970,0,0,1.55,-1.27,0.18,-0.21
1722036527,0.05,0.13,3495987,0,0,1.55,-0.27,0.1,0.18
1722036527,0.05,0.12,3496004,0,0,1.55,-1.27,0.06,-0.2
1722036527,0.05,0.12,3496022,0,0,1.55,-1.27,0.03,-0.2
1722036527,0.05,0.12,3496039,0,0,0.55,-1.27,-0.37,-0.14
1722036527,0.05,0.12,3496057,0,0,1.55,-2.27,0.07,-0.48
1722036527,0.05,0.12,3496074,0,0,0.55,-2.27,-0.27,-0.39
1722036527,0.05,0.12,3496091,0,0,0.55,-2.27,-0.25,-0.25
1722036527,0.05,0.12,3496109,0,0,-0.45,-2.27,-0.56,-0.15
1722036527,0.05,0.12,3496127,0,0,-0.45,-2.27,-0.44,-0.09
1722036527,0.05,0.12,3496145,0,0,-0.45,-2.27,-0.28,-0.05
1722036527,0.05,0.11,3496162,0,0,-0.45,-1.27,-0.17,0.36
1722036527,0.05,0.11,3496179,0,0,-0.45,-1.27,-0.1,0.32
1722036527,0.05,0.11,3496197,0,0,-0.45,-0.27,-0.06,0.61
1722036527,0.05,0.11,3496214,0,0,-0.45,0.73,-0.03,0.86
1722036527,0.05,0.11,3496232,0,0,-0.45,0.73,-0.02,0.64
1722036527,0.05,0.11,3496249,0,0,0.55,0.73,0.38,0.4
1722036527,0.05,0.11,3496267,0,0,0.55,1.73,0.33,0.63
1722036527,0.05,0.11,3496284,0,0,0.55,0.73,0.22,0.08
1722036527,0.05,0.11,3496301,0,0,0.55,0.73,0.13,-0.03
1722036527,0.05,0.11,3496319,0,0,1.55,0.73,0.47,-0.04
1722036527,0.05,0.12,3496336,0,0,0.55,0.73,-0.01,-0.03
1722036527,0.05,0.12,3496354,0,0,1.55,0.73,0.31,-0.02
1722036527,0.05,0.12,3496371,0,0,1.55,0.73,0.26,-0.01
1722036527,0.05,0.12,3496388,0,0,1.55,0.73,0.18,-0.01
1722036527,0.05,0.11,3496406,0,0,1.55,1.73,0.11,0.39
1722036527,0.05,0.11,3496422,0,0,0.55,2.73,-0.33,0.73
1722036527,0.05,0.11,3496440,0,0,0.55,3.73,-0.3,0.95
1722036527,0.05,0.11,3496457,0,0,0.55,3.73,-0.2,0.7
