timestamp,bandpass EMG 0,bandpass EMG 1,bandpass EMG envelope 0,bandpass EMG envelope 1,elapsed Time (ms),button 0,button 1,raw EMG 0,raw EMG 1
1722035638,-0.47,-0.46,0.06,0.26,2606892,0,0,-0.45,-1.27
1722035638,-0.78,-0.38,0.06,0.26,2606909,0,0,-1.45,-1.27
1722035638,-0.2,-0.25,0.06,0.25,2606928,0,0,-0.45,-2.27
1722035638,-0.04,-0.54,0.06,0.25,2606945,0,0,-0.45,-2.27
1722035638,-0.39,-0.42,0.06,0.25,2606962,0,0,-1.45,-0.27
1722035638,-0.33,0.51,0.06,0.24,2606980,0,0,-1.45,-1.27
1722035638,-0.22,0.12,0.06,0.24,2606997,0,0,-1.45,-1.27
1722035638,-0.13,0.02,0.06,0.24,2607015,0,0,-1.45,-1.27
1722035638,0.32,-0.01,0.06,0.24,2607032,0,0,-0.45,-0.27
1722035638,0.29,0.39,0.06,0.23,2607049,0,0,-0.45,-0.27
1722035638,0.2,0.33,0.06,0.23,2607067,0,0,-0.45,0.73
1722035638,0.12,0.61,0.06,0.23,2607084,0,0,-0.45,-0.27
1722035638,0.46,0.08,0.06,0.23,2607102,0,0,0.55,-0.27
1722035638,0.38,-0.04,0.06,0.22,2607119,0,0,0.55,-0.27
1722035638,0.25,-0.04,0.06,0.22,2607137,0,0,0.55,-0.27
1722035638,0.15,-0.03,0.06,0.21,2607154,0,0,0.55,0.73
1722035638,0.09,0.37,0.06,0.21,2607171,0,0,0.55,1.73
1722035638,0.05,0.72,0.06,0.21,2607189,0,0,0.55,0.73
1722035638,0.03,0.16,0.06,0.21,2607206,0,0,0.55,0.73
1722035638,-0.38,0.02,0.06,0.2,2607224,0,0,-0.45,0.73
1722035638,-0.33,-0.01,0.06,0.2,2607241,0,0,-0.45,0.73
1722035638,-0.22,-0.01,0.06,0.19,2607258,0,0,-0.45,-0.27
1722035638,-0.53,-0.4,0.06,0.19,2607276,0,0,-1.45,-0.27
1722035638,-0.02,-0.34,0.06,0.19,2607293,0,0,-0.45,-1.27
1722035638,0.07,-0.62,0.06,0.19,2607312,0,0,-0.45,-1.27
1722035638,0.06,-0.48,0.06,0.18,2607329,0,0,-0.45,-1.27
1722035638,0.04,-0.3,0.06,0.18,2607346,0,0,-0.45,-1.27
1722035638,0.03,-0.18,0.06,0.18,2607364,0,0,-0.45,-0.27
1722035638,0.02,0.29,0.06,0.18,2607381,0,0,-0.45,-0.27
1722035638,0.01,0.28,0.06,0.18,2607399,0,0,-0.45,-0.27
1722035638,0,0.19,0.05,0.18,2607416,0,0,-0.45,-0.27
1722035638,0.4,0.12,0.05,0.17,2607433,0,0,0.55,-0.27
1722035638,0.34,0.07,0.05,0.17,2607451,0,0,0.55,-0.27
1722035638,0.22,0.04,0.05,0.17,2607468,0,0,0.55,-0.27
1722035638,0.14,0.02,0.05,0.17,2607486,0,0,0.55,-0.27
1722035638,0.08,0.01,0.05,0.16,2607503,0,0,0.55,-0.27
1722035638,0.05,0.01,0.05,0.16,2607521,0,0,0.55,-0.27
1722035638,0.03,0,0.05,0.16,2607538,0,0,0.55,-0.27
1722035638,0.01,0,0.05,0.15,2607554,0,0,0.55,-1.27
1722035638,0.01,-0.39,0.05,0.15,2607573,0,0,0.55,-1.27
1722035638,-0.39,-0.34,0.05,0.15,2607590,0,0,-0.45,-1.27
1722035638,-0.33,-0.22,0.05,0.14,2607608,0,0,-0.45,-1.27
1722035638,-0.22,-0.14,0.05,0.14,2607625,0,0,-0.45,-2.27
1722035638,-0.13,-0.47,0.05,0.14,2607642,0,0,-0.45,-1.27
1722035638,-0.47,0.01,0.05,0.14,2607660,0,0,-1.45,-2.27
1722035638,-0.38,-0.31,0.05,0.13,2607677,0,0,-1.45,-1.27
1722035638,-0.25,0.13,0.05,0.13,2607695,0,0,-1.45,-1.27
1722035638,-0.15,0.16,0.05,0.13,2607713,0,0,-1.45,-1.27
1722035638,0.31,0.12,0.05,0.13,2607730,0,0,-0.45,-1.27
1722035638,0.29,0.07,0.05,0.13,2607748,0,0,-0.45,-1.27
1722035638,-0.2,0.04,0.05,0.12,2607765,0,0,-1.45,-0.27
1722035638,0.18,0.42,0.05,0.12,2607783,0,0,-0.45,-0.27
1722035638,0.18,0.35,0.05,0.12,2607800,0,0,-0.45,-0.27
1722035638,0.13,0.23,0.05,0.12,2607817,0,0,-0.45,-0.27
1722035638,0.47,0.14,0.05,0.12,2607835,0,0,0.55,-0.27
1722035638,0.38,0.08,0.05,0.12,2607852,0,0,0.55,0.73
1722035638,0.25,0.44,0.05,0.11,2607870,0,0,0.55,-0.27
1722035639,0.15,-0.03,0.05,0.11,2607887,0,0,0.55,-0.27
1722035639,0.09,-0.1,0.05,0.11,2607905,0,0,0.55,-0.27
1722035639,0.05,-0.08,0.05,0.11,2607922,0,0,0.55,0.73
1722035639,0.03,0.34,0.05,0.11,2607939,0,0,0.55,0.73
1722035639,0.02,0.31,0.05,0.11,2607956,0,0,0.55,0.73
1722035639,0.01,0.21,0.05,0.11,2607973,0,0,0.55,-0.27
1722035639,0.01,-0.27,0.05,0.1,2607991,0,0,0.55,0.73
1722035639,0,0.13,0.05,0.1,2608008,0,0,0.55,0.73
1722035639,-0.39,0.16,0.05,0.1,2608025,0,0,-0.45,0.73
1722035639,-0.34,0.11,0.05,0.1,2608043,0,0,-0.45,0.73
