timestamp,bandpass EMG envelope 0,bandpass EMG envelope 1,elapsed Time (ms),button 0,button 1,raw EMG 0,raw EMG 1,bandpass EMG 0,bandpass EMG 1
1721862373,0.05,0.03,448531,0,0,0.39,0.84,0.07,-0.09
1721862373,0.05,0.03,448549,0,0,0.39,0.84,0.04,-0.06
1721862373,0.05,0.03,448566,0,0,0.39,0.84,0.02,-0.03
1721862373,0.05,0.03,448583,0,0,0.39,0.84,0.01,-0.02
1721862373,0.05,0.03,448600,0,0,0.39,0.84,0.01,-0.01
1721862373,0.05,0.03,448617,0,0,0.39,0.84,0,-0.01
1721862373,0.05,0.03,448635,0,0,0.39,-0.16,0,-0.4
1721862373,0.05,0.02,448652,0,0,0.39,-0.16,0,-0.34
1721862373,0.04,0.02,448669,0,0,0.39,0.84,0,0.17
1721862373,0.04,0.02,448687,0,0,0.39,-0.16,0,-0.19
1721862373,0.04,0.02,448704,0,0,0.39,-1.16,0,-0.59
1721862373,0.04,0.02,448722,0,0,1.39,-0.16,0.39,-0.08
1721862373,0.04,0.02,448739,0,0,1.39,-0.16,0.34,0.03
1721862373,0.04,0.02,448755,0,0,1.39,0.84,0.22,0.43
1721862373,0.04,0.03,448773,0,0,1.39,-1.16,0.14,-0.42
1721862373,0.04,0.03,448790,0,0,1.39,-1.16,0.08,-0.43
1721862373,0.04,0.03,448808,0,0,1.39,-0.16,0.05,0.09
1721862373,0.04,0.03,448825,0,0,1.39,-0.16,0.03,0.15
1721862373,0.04,0.03,448843,0,0,1.39,-1.16,0.01,-0.28
1721862373,0.04,0.03,448860,0,0,1.39,-0.16,0.01,0.13
1721862373,0.04,0.03,448877,0,0,1.39,-0.16,0,0.16
1721862373,0.04,0.03,448894,0,0,0.39,-1.16,-0.39,-0.28
1721862373,0.04,0.03,448911,0,0,0.39,-1.16,-0.34,-0.27
1721862373,0.03,0.03,448929,0,0,0.39,-0.16,-0.22,0.21
1721862373,0.03,0.03,448946,0,0,0.39,-0.16,-0.14,0.23
1721862373,0.03,0.03,448963,0,0,0.39,-0.16,-0.08,0.16
1721862373,0.03,0.03,448981,0,0,0.39,-0.16,-0.05,0.1
1721862373,0.03,0.03,448998,0,0,0.39,-0.16,-0.03,0.06
1721862373,0.03,0.03,449016,0,0,-0.61,-0.16,-0.41,0.03
1721862373,0.03,0.03,449033,0,0,-0.61,-0.16,-0.35,0.02
1721862373,0.03,0.03,449050,0,0,-0.61,-0.16,-0.23,0.01
1721862373,0.03,0.03,449068,0,0,-0.61,-0.16,-0.14,0.01
1721862373,0.03,0.03,449085,0,0,-0.61,-0.16,-0.08,0
1721862373,0.03,0.03,449103,0,0,0.39,-0.16,0.35,0
1721862373,0.03,0.03,449120,0,0,0.39,-0.16,0.31,0
1721862373,0.03,0.03,449137,0,0,0.39,-1.16,0.21,-0.39
1721862373,0.03,0.03,449155,0,0,0.39,-1.16,0.13,-0.34
1721862373,0.03,0.03,449172,0,0,0.39,-0.16,0.07,0.17
1721862373,0.03,0.03,449190,0,0,0.39,-0.16,0.04,0.2
1721862373,0.03,0.03,449206,0,0,0.39,-1.16,0.02,-0.25
1721862373,0.03,0.03,449223,0,0,0.39,-0.16,0.01,0.15
1721862374,0.03,0.03,449241,0,0,0.39,-0.16,0.01,0.17
1721862374,0.03,0.03,449258,0,0,0.39,-0.16,0,0.12
1721862374,0.03,0.03,449276,0,0,0.39,-0.16,0,0.07
1721862374,0.03,0.03,449293,0,0,0.39,-0.16,0,0.04
1721862374,0.03,0.03,449310,0,0,0.39,-0.16,0,0.03
1721862374,0.03,0.03,449328,0,0,0.39,-0.16,0,0.01
1721862374,0.03,0.03,449344,0,0,0.39,0.84,0,0.4
1721862374,0.03,0.03,449362,0,0,0.39,0.84,0,0.34
1721862374,0.03,0.03,449379,0,0,0.39,-0.16,0,-0.17
1721862374,0.03,0.03,449397,0,0,0.39,-0.16,0,-0.2
1721862374,0.03,0.03,449414,0,0,0.39,0.84,0,0.25
1721862374,0.03,0.03,449431,0,0,0.39,0.84,0,0.25
1721862374,0.02,0.03,449448,0,0,0.39,-0.16,0,-0.22
1721862374,0.02,0.03,449465,0,0,-0.61,-0.16,-0.39,-0.23
1721862374,0.02,0.03,449483,0,0,-0.61,0.84,-0.34,0.23
1721862374,0.02,0.03,449500,0,0,-0.61,0.84,-0.22,0.24
1721862374,0.02,0.03,449517,0,0,-0.61,0.84,-0.14,0.16
1721862374,0.02,0.03,449535,0,0,-0.61,0.84,-0.08,0.1
1721862374,0.02,0.03,449552,0,0,-0.61,-0.16,-0.05,-0.33
1721862374,0.02,0.03,449570,0,0,-0.61,-0.16,-0.03,-0.3
1721862374,0.02,0.03,449587,0,0,0.39,0.84,0.38,0.19
1721862374,0.02,0.03,449604,0,0,-0.61,-0.16,-0.06,-0.18
1721862374,0.02,0.03,449622,0,0,-0.61,-0.16,-0.12,-0.19
1721862374,0.02,0.03,449639,0,0,-0.61,-0.16,-0.09,-0.13
1721862374,0.02,0.03,449657,0,0,-0.61,-1.16,-0.06,-0.47
1721862374,0.02,0.03,449674,0,0,-0.61,-1.16,-0.03,-0.38
1721862374,0.02,0.03,449692,0,0,-0.61,-1.16,-0.02,-0.25
1721862374,0.02,0.03,449710,0,0,0.39,-1.16,0.38,-0.15
1721862374,0.02,0.03,449727,0,0,0.39,-0.16,0.33,0.31
1721862374,0.02,0.03,449744,0,0,0.39,-0.16,0.22,0.29
1721862374,0.02,0.03,449761,0,0,0.39,0.84,0.13,0.59
1721862374,0.02,0.03,449778,0,0,0.39,0.84,0.08,0.46
1721862374,0.02,0.03,449796,0,0,-0.61,-0.16,-0.35,-0.1
1721862374,0.02,0.03,449813,0,0,-0.61,0.84,-0.31,0.23
1721862374,0.02,0.04,449831,0,0,-0.61,0.84,-0.21,0.22
1721862374,0.02,0.04,449848,0,0,-0.61,0.84,-0.13,0.15
1721862374,0.02,0.04,449865,0,0,-0.61,0.84,-0.07,0.09
